name,phone,address,formatted_address,closing,rates,specials,lat,lon,adult_price,latlon
American Folk Art Museum,212-265-1040,45 W. 53rd St. (at Fifth Ave.),"45 W. 53rd St., New York, NY",Closed: Monday,"admission: $9; seniors/students, $7; under 12, free",Pay-what-you-wish: Friday after 5:30pm; refreshments and music available,40.7616311,-73.9781017,9,"40.7616311,-73.9781017"
American Museum of Natural History,212-769-5200,Central Park West (at W. 79th St.),"Central Park West, New York, NY",Closed: Thanksgiving Day and Christmas Day,"suggested admission: $16; seniors/students, $12; kids 2&ndash;12, $9; under 2, free",,40.7849665,-73.9695961,16,"40.7849665,-73.9695961"
Asia Society and Museum,212-288-6400,725 Park Ave. (at E. 70th St.),"725 Park Ave., New York, NY",Closed: Monday and federal holidays,"admission: $10; seniors, $7; students, $5; under 16, free",Pay-what-you-wish: Friday from 6 to 9pm (September to June); refreshments available,40.7698734,-73.9642847,10,"40.7698734,-73.9642847"
The Bronx Museum of the Arts,718-681-6000,1040 Grand Concourse,"1040 Grand Concourse, New York, NY","Closed: Monday through Wednesday and New Year's Day, Thanksgiving Day and Christmas Day","admission: $5; seniors/students, $3; children, free",Pay-what-you-wish: Friday (excluding groups); refreshments available,40.8308846,-73.9202186,5,"40.8308846,-73.9202186"
Bronx Zoo,718-367-1010,Bronx River Parkway and Fordham Road,"Bronx River Parkway and Fordham Road, New York, NY","Closed: New Year's Day, Martin Luther King Jr. Day, Thanksgiving Day and Christmas Day","admission: $15; seniors, $13; children 3&ndash;12, $11; under 2, free",Pay-what-you-wish: Wednesday (excluding special exhibitions/rides),40.861296,-73.897749,15,"40.861296,-73.897749"
Brooklyn Botanic Garden,718-623-7200,1000 Washington Ave. (bet. Crown and Montgomery Sts.),"1000 Washington Ave., New York, NY",Closed: Monday (except federal holidays),"admission: $8; seniors/students, $4; under 12, free",Free: Tuesday through Saturday from 10am to noon (excluding major public programs),40.6675708,-73.9619036,8,"40.6675708,-73.9619036"
Brooklyn Children's Museum,718-735-4400,145 Brooklyn Ave. (at St. Marks Ave.),"145 Brooklyn Ave., New York, NY","Closed: Monday (June 29&ndash;September 4, 2010); Monday and Tuesday (September 5, 2010&ndash;June 28, 2011)",admission: $7.50,,40.6744542,-73.9439964,7.5,"40.6744542,-73.9439964"
Brooklyn Museum,718-638-5000,200 Eastern Pkwy. (at Washington Ave.),"200 Eastern Pkwy., New York, NY","Closed: Monday and Tuesday and New Year's Day, Thanksgiving Day and Christmas Day","suggested contribution: $10; seniors/students, $6; under 12, free",Target-sponsored free admission: First Saturday of each month from 5 to 11pm,40.671151,-73.9634766,10,"40.671151,-73.9634766"
Children's Museum of Manhattan,212-721-1223,212 W. 83rd St. (bet. Broadway and Amsterdam Ave.),"212 W. 83rd St., New York, NY",Closed: Monday,"admission: $10; seniors, $7; under 1, free",Target-sponsored free admission: First Friday of each month from 5 to 8pm,40.785848,-73.977321,10,"40.785848,-73.977321"
The Cloisters Museum &amp; Gardens,212-923-3700,"Fort Tryon Park, 99 Margaret Corbin Drive","Fort Tryon Park, 99 Margaret Corbin Drive, New York, NY","Closed: Monday and New Year's Day, Thanksgiving Day and Christmas Day","suggested admission: $20; seniors, $15; students, $10; under 12, free (admission includes same-day entry to The Metropolitan Museum of Art)",,40.864848,-73.931808,20,"40.864848,-73.931808"
"Cooper-Hewitt, National Design Museum",212-849-8400,2 E. 91st St. (at Fifth Ave.),"2 E. 91st St., New York, NY","Closed: New Year's Day, Thanksgiving Day and Christmas Day","admission: $15; seniors/students, $10; under 12, free",,40.7844391,-73.9578551,15,"40.7844391,-73.9578551"
El Museo del Barrio,212-831-7272,1230 Fifth Ave. (bet. E. 104th and E. 105th Sts.),"1230 Fifth Ave., New York, NY","Closed: Monday and Tuesday and New Year's Day, Fourth of July, Thanksgiving Day and Christmas Day","admission: $9; seniors/students, $5; members/under 12, free",Free: Wednesday (for seniors),40.793093,-73.951368,9,"40.793093,-73.951368"
The Frick Collection,212-288-0700,1 E. 70th St. (at Fifth Ave.),"1 E. 70th St., New York, NY",Closed: Monday,"admission: $18; seniors, $12; students, $5; under 10 not admitted",Pay-what-you-wish: Sunday from 11am to 1pm,40.7711807,-73.9673501,18,"40.7711807,-73.9673501"
"Guggenheim Museum, Solomon R.",212-423-3500,1071 Fifth Ave. (bet. E. 88th and E. 89th Sts.),"1071 Fifth Ave., New York, NY",Closed: Thursday,"admission: $18; seniors/students, $15; under 12, free",Pay-what-you-wish: Saturday from 5:45 to 7:45pm; refreshments available,40.7830178,-73.9588884,18,"40.7830178,-73.9588884"
International Center of Photography,212-857-0000,1133 Sixth Ave. (at W. 43rd St.),"1133 Sixth Ave., New York, NY","Closed: Monday and New Year's Day, Thanksgiving Day and Christmas Day","admission: $12; seniors/students, $8; under 12, free",Pay-what-you-wish: Friday from 5 to 8pm; refreshments available,40.7559786,-73.9833069,12,"40.7559786,-73.9833069"
"Intrepid Sea, Air &amp; Space Museum",877-957-SHIP (7447),Pier 86 (Twelfth Ave. and W. 46th St.),"Twelfth Ave. and W. 46th St, New York, NY",Closed: Thanksgiving Day and Christmas Day,"admission: $24; seniors (62+)/college students (with ID), $20; kids 3&ndash;17, $19; veterans, $17; under 2 and active-duty/retired military, free",,40.764349,-73.9987268,24,"40.764349,-73.9987268"
Japan Society,212-715-1255,333 E. 47th St. (bet. First and Second Aves.),"333 E. 47th St., New York, NY",Closed: Monday,"admission: $10; seniors/students, $8; under 16, free",,40.7525077,-73.9682794,10,"40.7525077,-73.9682794"
The Jewish Museum,212-423-3200,1109 Fifth Ave. (at E. 92nd St.),"1109 Fifth Ave., New York, NY","Closed: Wednesday, major Jewish holidays and New Year's Day, Martin Luther King Jr. Day and Thanksgiving Day","admission: $12; seniors, $10; students, $7.50; under 12, free",Pay-what-you-wish: Saturday from 11am to 5:45pm,40.7854597,-73.9571318,12,"40.7854597,-73.9571318"
Lower East Side Tenement Museum,212-431-0233,108 Orchard St. (at Delancey St.),"108 Orchard St., New York, NY",,"admission: $20; seniors/students, $15; under 5, free; discount rates for combination tours",,40.7187078,-73.9897904,20,"40.7187078,-73.9897904"
The Metropolitan Museum of Art,212-535-7710,1000 Fifth Ave. (at E. 82nd St.),"1000 Fifth Ave., New York, NY","Closed: Monday (except Memorial Day; July 5, 2010; Labor Day; Columbus Day; and December 27, 2010)","recommended admission: $20; seniors, $15; students, $10; under 12, free (admission includes same-day entry to The Cloisters Museum &amp; Gardens)",Open Friday and Saturday until 9pm with museum admission; rooftop martini bar open until 8pm,40.7791655,-73.9629278,20,"40.7791655,-73.9629278"
The Morgan Library &amp; Museum,212-685-0008,225 Madison Ave. (bet. E. 36th and E. 37th Sts.),"225 Madison Ave., New York, NY","Closed: Monday and New Year's Day, Thanksgiving Day and Christmas Day","admission: $12; seniors/students/kids 12&ndash;16, $8; under 12, free",Pay-what-you-wish: Friday from 7 to 9pm; refreshments available; McKim rooms free Tuesday from 3 to 5pm and Sunday from 4 to 6pm,40.7492094,-73.9815265,12,"40.7492094,-73.9815265"
